id,word,definition
10490,Sociopath,a sociopath is a person possessing a personality disorder that involves having very little regard or concern for others
10491,Sockdolager,a decisive and often unexpected blow
10492,Socrates,a Greek philosopher who known for his thoughts on justice and virtue and is credited for laying the foundation of Western Philosophy
10493,Sod,the grass covered surface of land
10494,Sodden,soaked in fluid
10495,Sodium,"an element that is found naturally in many things and when combined with chloride, results in table salt"
10496,Soften,to make or become less harsh or hard
10497,Softly,in a gentle and quiet way
10498,Softness,not hard or firm
10499,Sog,a piece of marshland that is soft and wet
10500,Soggy,something that is wet and soft
10501,Soigne,"polished, well-groomed or dressed"
10502,Soiree,an elegant party or event
10503,Sojourn,a brief stay
10504,Sojourner,a person who temporarily resides or stays in a place
10505,Solace,comfort in grief
10506,Solar,related to the sun
10507,Solder,a fusible metal (usually tin or lead) that is used to join other metals together
10508,Soldier,a person serving in the military
10509,Sole,only
10510,Solecism,something that isn’t seen as normal or appropriate; a deviation from the norm
10511,Solely,"not involving anyone or anything else, or performed by only one person"
10512,Solemn,extremely somber or serious
10513,Solemnity,the condition of being serious or formal
10514,Solemnize,to perform a marriage ceremony
10515,Solicit,to request or ask for something
10516,Solicitation,actively seeking out others in order to obtain a favor or money for a specific cause or business
10517,Solicitor,a solicitor is a person who tries to obtain business from others usually related to sales
10518,solicitous,full of anxiety and concern
10519,Solicitude,care or concern
10520,Solid,firm; stable
10521,Solidarity,unity that occurs among people with a shared purpose
10522,Solidify,to reinforce or make something stronger
10523,Soliloquize,to talk to one’s self
10524,Soliloquy,a monologue that is spoken out loud by an actor or actress
10525,Solipsism,the idea that the only thing we can be truly certain of is our own existence
10526,Solitaire,solitaire means a single gem set in a piece of jewelry
10527,Solitary ,deserted; unoccupied
10528,Solitude,aloneness; state of being alone
10529,Solo,a piece of music for one performer
10530,Solstice,the time when the sun is furthest north or south of Earth's equator
10531,Solubility,the condition of being soluable and dissolved in liquid
10532,Solute,solute is a small component in a solution
10533,Solution,the answer to a problem or situation
10534,Solvent,able to pay all financial obligations
10535,Somatic,somatic means relating to the human body
10536,Somber,grim or miserable
10537,Somehow,in a way that isn’t known
10538,Somersault,a somersault is an acrobatic flip
10539,Sometimes,happening from time to time (occasionally)
10540,Somewhat,to some degree or measure
10541,Somnambulant,sleepwalking or resembling a sluggish sleepwalker
10542,Somnambulate,to walk while sleeping
10543,Somnambulism,somnambulism is engaging in activities such as walking while asleep
10544,Somnambulist,a somnambulist is one who sleep walks
10545,Somniferous,somniferous describes something that prompts sleep
10546,Somnolent,likely to induce sleep
10547,Sonar,a device that is used to detect or locate objects under water
10548,Sonata,a long piece of classical music that is composed for one or two instruments and contains several parts
10549,Sonic,related to sound or sound waves
10550,Sonnet,verse form consisting of fourteen lines
10551,Sonorous,able to produce a deep sound
10552,Soonest,as soon as possible
10553,Soot,fine black powder
10554,Soothe,to calm or ease
10555,Soothing,calming; comforting
10556,Soothsayer,an individual with the ability to predict the future
10557,Sophism,a clever but untrue argument that is used to deceive someone
10558,Sophistical,misleading or erroneously deceptive
10559,Sophisticated ,appealing in an intellectual way
10560,Sophistication,"an understanding of the world and its ways, particularly knowledge and culture"
10561,Sophistry,a reason or argument that sounds correct but is actually false
10562,Sophomore,an individual in his/her second year of university or high school or a second release or effort
10563,Sophomoric,"juvenile, immature, and lacking good judgment"
10564,Soporific,causing or tending to cause sleep
10565,Soprano,highest female singing voice
10566,Sorbet,"sweet, fruit-flavored ice that is served as a dessert"
10567,Sorcery,the utilization of magical abilities acquired from evil souls
10568,Sordid,very bad or dirty
10569,Sore,tender; painfully uncomfortable
10570,Sororal,of or pertaining to a sister; sisterly
10571,Sorority,a social organization of female students at a college or university
10572,Sorrow,misery or grief
10573,Sorrowful,displaying or causing misery
10574,Sorrowfully,sadly; mournfully
10575,Sorry,remorseful; repentant
10576,Sort of,to some extent or in some kind of way
10577,Sort,to arrange things in groups based on shared qualities
10578,Sough,a moaning or sighing sound
10579,Sought,"desired, wanted"
10580,Soul,the inner spirit or essence of a human being
10581,Soulful,expressing feeling or emotion
10582,Soulmate,a romantic partner which one has a strong connection (usually lifelong) connection
10583,Sound,noise produced by continuous and regular vibrations
10584,Sound,vibrations that travel through the air and can be heard upon reaching a person or animal’s eardrum
10585,Soundness,being in good condition
10586,Sour,bitter or resentful
10587,Source,basis; foundation
10588,Southern,situated in the south
10589,Souvenir,"an item of sentimental value, to remember an event or location"
10590,Sovereign ,exercising its own authority
10591,Sovereignty,power; authority; control
10592,Sow,to spread or scatter
10593,Sown,scattered; disseminated
10594,Space,a place or area
10595,Spacious,with a generous amount of space
10596,Spade,a garden shovel
10597,Spake,a past tense form of speak and synonym for spoke
10598,Spam,unsolicited commercial e-mail sent to a large number of addresses
10599,Span,the full extent of something from one end to the other
10600,Spangle,a little flat shiny piece of metallic decoration commonly sewn on clothing
10601,Spanish,"related to the people, culture, or language of Spain"
10602,Spar,to fight with the exchange of physical or verbal blows
10603,Spare,replacement or additional
10604,Sparing,showing mercy or pardoning someone
10605,Sparingly,in small amounts
10606,Spark,a trigger or stimulus
10607,Sparkle,shine; glitter
10608,Sparse,thin; inadequate
10609,Spartan,reflective of vast self-denial
10610,Spasm,contraction of a muscle
10611,Spasmodic,occurring in an erratic manner
10612,Spat,to quarrel or argue briefly
10613,Spate,a series or large amounts of
10614,Spatial,pertaining to space and the relationship of objects within it
10615,Spawn,to generate or produce
10616,Speak,to talk or say something
10617,Speakable,able to be said or spoken
10618,Speakeasy,an illegal bar or club that sold liquor during prohibition
10619,Speaker,someone who speaks or delivers speeches to a crowd
10620,Speakership,"a person that speaks formally to an audience, especially in a political forum"
10621,Speaketh,a form of the word speak
10622,Spear,to impale or pierce an object
